12Z 08 03 2017, 4.02, 17.38
00Z 09 03 2017, 2.98, 16.91
12Z 09 03 2017, 0.00, 17.26
00Z 10 03 2017, 0.00, 17.53
12Z 10 03 2017, 0.00, 17.69
00Z 11 03 2017, 0.00, 22.67
12Z 11 03 2017, 5.85, 10.17
00Z 12 03 2017, 155.80, 19.12
12Z 12 03 2017, 0.00, 7.49
00Z 13 03 2017, 0.00, 22.96
12Z 13 03 2017, 0.00, 17.13
00Z 14 03 2017, 3.19, 15.14
12Z 14 03 2017, 0.00, 17.61
00Z 15 03 2017, 0.00, 15.90
12Z 15 03 2017, 3.38, 14.07
00Z 16 03 2017, 0.58, 12.19
12Z 16 03 2017, 21.05, 15.33
00Z 17 03 2017, 0.00, 13.02
12Z 17 03 2017, 0.00, 25.34
00Z 18 03 2017, 0.00, 28.36
12Z 18 03 2017, 0.00, 21.88
00Z 19 03 2017, 3.31, 18.65
12Z 19 03 2017, 0.22, 17.86
00Z 20 03 2017, 20.27, 17.41
12Z 20 03 2017, 0.00, 9.05
00Z 21 03 2017, 0.00, 5.45
12Z 21 03 2017, 0.00, 8.14
00Z 22 03 2017, 58.52, 9.22
12Z 22 03 2017, 0.00, 5.55
00Z 23 03 2017, 0.00, 7.39
12Z 23 03 2017, 0.00, 8.86
00Z 24 03 2017, 0.00, 6.97
12Z 24 03 2017, 0.00, 6.74
00Z 25 03 2017, 0.00, 10.06
12Z 25 03 2017, 0.00, 8.24
00Z 26 03 2017, 0.00, 7.82
12Z 26 03 2017, 0.00, 12.10
00Z 27 03 2017, 0.00, 14.98
12Z 27 03 2017, 0.00, 14.64
00Z 28 03 2017, 0.00, 16.71
12Z 28 03 2017, 40.72, 16.16
00Z 29 03 2017, 0.00, 21.38
12Z 29 03 2017, 33.04, 19.82
00Z 30 03 2017, 58.92, 15.44
12Z 30 03 2017, 0.00, 17.08
00Z 31 03 2017, 0.00, 18.63
12Z 31 03 2017, 3.38, 10.87
00Z 01 04 2017, 0.20, 14.73
12Z 01 04 2017, 0.00, 9.25
00Z 02 04 2017, 0.00, 10.67
12Z 02 04 2017, 0.00, 20.65
00Z 03 04 2017, 0.76, 21.18
12Z 03 04 2017, 28.40, 18.59
00Z 04 04 2017, 0.20, 7.46
12Z 04 04 2017, 0.14, 7.58
00Z 05 04 2017, 1.55, 7.48
